shipment_id,warehouse,dest_city,dest_state,weight_lbs,freight_class,pickup_date,delivery_due,mode_flag,cluster_id,cluster_size,truck_id,assigned_mode,truck_weight,truck_n_stops,wh_to_dest_mi,tl_cost,ltl_cost_each,plan_cost
SHP0001,CHICAGO_IL,New York,NY,12500,85,2023-10-02,2023-10-04,OPTIONAL,6,4,TRK-007,TL,38000.0,2,711.1,2568.65,5500.0,856.22
SHP0002,CHICAGO_IL,New York,NY,8000,70,2023-10-02,2023-10-05,OPTIONAL,6,4,TRK-008,TL,8000.0,1,711.1,2461.08,3273.6,2461.08
SHP0003,CHICAGO_IL,New York,NY,16500,70,2023-10-03,2023-10-05,MUST_TL,6,4,TRK-007,TL,38000.0,2,711.1,2568.65,6751.8,856.22
SHP0004,CHICAGO_IL,Boston,MA,6500,85,2023-10-03,2023-10-06,OPTIONAL,13,2,TRK-015,TL,17500.0,1,848.6,2907.95,2860.0,1453.98
SHP0005,CHICAGO_IL,Boston,MA,11000,65,2023-10-02,2023-10-05,OPTIONAL,13,2,TRK-015,TL,17500.0,1,848.6,2907.95,4259.2,1453.98
SHP0006,CHICAGO_IL,Philadelphia,PA,9000,70,2023-10-02,2023-10-04,OPTIONAL,6,4,TRK-007,TL,38000.0,2,663.7,2568.65,2678.4,856.22
SHP0007,CHICAGO_IL,Washington DC,DC,8000,70,2023-10-02,2023-10-04,OPTIONAL,4,2,TRK-005,TL,15000.0,2,593.6,2192.62,2380.8,1096.31
SHP0008,CHICAGO_IL,Baltimore,MD,7000,70,2023-10-02,2023-10-04,OPTIONAL,4,2,TRK-005,TL,15000.0,2,604.7,2192.62,2083.2,1096.31
SHP0009,CHICAGO_IL,Atlanta,GA,14000,85,2023-10-03,2023-10-06,OPTIONAL,9,2,TRK-011,TL,34000.0,1,588.8,2063.6,4480.0,1031.8
SHP0010,CHICAGO_IL,Atlanta,GA,20000,65,2023-10-02,2023-10-05,MUST_TL,9,2,TRK-011,TL,34000.0,1,588.8,2063.6,5632.0,1031.8
SHP0011,CHICAGO_IL,Charlotte,NC,13000,85,2023-10-03,2023-10-05,OPTIONAL,18,1,TRK-019,TL,13000.0,1,587.5,2059.38,4160.0,2059.38
SHP0012,CHICAGO_IL,Nashville,TN,9500,65,2023-10-02,2023-10-04,OPTIONAL,0,2,TRK-001,TL,17500.0,2,397.5,2080.18,2675.2,1040.09
SHP0013,CHICAGO_IL,Miami,FL,7500,100,2023-10-02,2023-10-07,OPTIONAL,14,2,TRK-016,TL,25500.0,1,1191.4,4022.05,3630.0,2011.02
SHP0014,CHICAGO_IL,Miami,FL,18000,70,2023-10-03,2023-10-08,MUST_TL,14,2,TRK-016,TL,25500.0,1,1191.4,4022.05,7365.6,2011.02
SHP0015,CHICAGO_IL,Tampa,FL,11000,100,2023-10-03,2023-10-07,OPTIONAL,19,1,TRK-020,TL,11000.0,1,1005.5,3417.88,5324.0,3417.88
SHP0016,CHICAGO_IL,Dallas,TX,22000,65,2023-10-02,2023-10-05,MUST_TL,2,2,TRK-003,TL,27000.0,2,804.7,3019.42,8518.4,1509.71
SHP0017,CHICAGO_IL,Houston,TX,16000,85,2023-10-02,2023-10-06,MUST_TL,5,3,TRK-006,TL,32500.0,3,941.9,3925.85,7040.0,1308.62
SHP0018,CHICAGO_IL,Austin,TX,7500,70,2023-10-02,2023-10-06,OPTIONAL,5,3,TRK-006,TL,32500.0,3,979.6,3925.85,3069.0,1308.62
SHP0019,CHICAGO_IL,San Antonio,TX,9000,85,2023-10-02,2023-10-06,OPTIONAL,5,3,TRK-006,TL,32500.0,3,1052.8,3925.85,3960.0,1308.62
SHP0020,CHICAGO_IL,Oklahoma City,OK,5000,85,2023-10-03,2023-10-05,OPTIONAL,2,2,TRK-003,TL,27000.0,2,692.5,3019.42,1600.0,1509.71
SHP0021,CHICAGO_IL,Denver,CO,8500,65,2023-10-02,2023-10-05,OPTIONAL,7,2,TRK-009,TL,22500.0,1,918.3,3134.47,3291.2,1567.24
SHP0022,CHICAGO_IL,Denver,CO,14000,70,2023-10-03,2023-10-06,OPTIONAL,7,2,TRK-009,TL,22500.0,1,918.3,3134.47,5728.8,1567.24
SHP0023,CHICAGO_IL,Phoenix,AZ,19000,85,2023-10-02,2023-10-06,MUST_TL,15,1,TRK-017,TL,19000.0,1,1451.8,4868.35,10640.0,4868.35
SHP0024,CHICAGO_IL,Las Vegas,NV,6500,100,2023-10-03,2023-10-07,OPTIONAL,17,1,LTL,LTL,0.0,0,1521.3,0.0,4004.0,4004.0
SHP0025,CHICAGO_IL,Los Angeles,CA,35000,50,2023-10-02,2023-10-06,MUST_TL,3,3,TRK-004,TL,44000.0,1,1742.4,5812.8,15680.0,2906.4
SHP0026,CHICAGO_IL,Los Angeles,CA,9000,70,2023-10-03,2023-10-07,OPTIONAL,3,3,TRK-004,TL,44000.0,1,1742.4,5812.8,4687.2,2906.4
SHP0027,CHICAGO_IL,San Francisco,CA,25000,65,2023-10-03,2023-10-07,MUST_TL,8,1,TRK-010,TL,25000.0,1,1854.9,6178.43,12320.0,6178.43
SHP0028,CHICAGO_IL,Seattle,WA,28000,50,2023-10-02,2023-10-07,MUST_TL,11,3,TRK-013,TL,40000.0,1,1733.0,5782.25,12544.0,2891.12
SHP0029,CHICAGO_IL,Seattle,WA,12000,85,2023-10-03,2023-10-08,OPTIONAL,11,3,TRK-013,TL,40000.0,1,1733.0,5782.25,6720.0,2891.12
SHP0030,CHICAGO_IL,Portland,OR,10000,85,2023-10-03,2023-10-08,OPTIONAL,11,3,LTL,LTL,0.0,0,1754.6,0.0,5600.0,5600.0
SHP0031,CHICAGO_IL,Minneapolis,MN,11000,65,2023-10-02,2023-10-04,OPTIONAL,12,1,TRK-014,TL,11000.0,1,354.6,1302.45,3097.6,1302.45
SHP0032,CHICAGO_IL,Detroit,MI,7500,70,2023-10-02,2023-10-03,OPTIONAL,1,4,TRK-002,TL,35500.0,3,237.0,1624.2,1534.5,406.05
SHP0033,CHICAGO_IL,Detroit,MI,6000,85,2023-10-03,2023-10-04,OPTIONAL,1,4,TRK-002,TL,35500.0,3,237.0,1624.2,1320.0,406.05
SHP0034,CHICAGO_IL,Cleveland,OH,8500,65,2023-10-03,2023-10-04,OPTIONAL,1,4,TRK-002,TL,35500.0,3,307.3,1624.2,2393.6,406.05
SHP0035,CHICAGO_IL,St. Louis,MO,5500,70,2023-10-02,2023-10-03,OPTIONAL,16,1,TRK-018,TL,5500.0,1,262.3,1002.48,1125.3,1002.48
SHP0036,CHICAGO_IL,Kansas City,MO,6000,70,2023-10-02,2023-10-04,OPTIONAL,10,1,TRK-012,TL,6000.0,1,412.4,1490.3,1785.6,1490.3
SHP0037,CHICAGO_IL,Columbus,OH,13500,70,2023-10-02,2023-10-04,OPTIONAL,1,4,TRK-002,TL,35500.0,3,275.6,1624.2,2762.1,406.05
SHP0038,CHICAGO_IL,Indianapolis,IN,4500,85,2023-10-02,2023-10-03,OPTIONAL,20,1,TRK-021,TL,4500.0,1,164.8,685.6,990.0,685.6
SHP0039,CHICAGO_IL,Memphis,TN,8000,65,2023-10-02,2023-10-04,OPTIONAL,0,2,TRK-001,TL,17500.0,2,482.9,2080.18,2252.8,1040.09
SHP0040,CHICAGO_IL,Los Angeles,CA,6000,85,2023-10-02,2023-10-06,OPTIONAL,3,3,LTL,LTL,0.0,0,1742.4,0.0,3360.0,3360.0
