section,label,n_shipments,tl_shipments,ltl_shipments,total_weight_lbs,baseline_ltl_cost,optimized_cost,savings,savings_pct
OVERALL,All Shipments,40,37,3,474500,"$189,077.90","$75,564.01","$113,513.89",60.0%
CLUSTER,"Cluster 0 (Memphis, Nashville)",2,2,0,17500,"$4,928.00","$2,080.18","$2,847.82",57.8%
CLUSTER,"Cluster 1 (Cleveland, Columbus, Detroit)",4,4,0,35500,"$8,010.20","$1,624.20","$6,386.00",79.7%
CLUSTER,"Cluster 2 (Dallas, Oklahoma City)",2,2,0,27000,"$10,118.40","$3,019.42","$7,098.98",70.2%
CLUSTER,Cluster 3 (Los Angeles),3,2,1,50000,"$23,727.20","$9,172.80","$14,554.40",61.3%
CLUSTER,"Cluster 4 (Baltimore, Washington DC)",2,2,0,15000,"$4,464.00","$2,192.62","$2,271.38",50.9%
CLUSTER,"Cluster 5 (Austin, Houston, San Antonio)",3,3,0,32500,"$14,069.00","$3,925.86","$10,143.14",72.1%
CLUSTER,"Cluster 6 (New York, Philadelphia)",4,4,0,46000,"$18,203.80","$5,029.74","$13,174.06",72.4%
CLUSTER,Cluster 7 (Denver),2,2,0,22500,"$9,020.00","$3,134.48","$5,885.52",65.2%
CLUSTER,Cluster 8 (San Francisco),1,1,0,25000,"$12,320.00","$6,178.43","$6,141.57",49.9%
CLUSTER,Cluster 9 (Atlanta),2,2,0,34000,"$10,112.00","$2,063.60","$8,048.40",79.6%
CLUSTER,Cluster 10 (Kansas City),1,1,0,6000,"$1,785.60","$1,490.30",$295.30,16.5%
CLUSTER,"Cluster 11 (Portland, Seattle)",3,2,1,50000,"$24,864.00","$11,382.24","$13,481.76",54.2%
CLUSTER,Cluster 12 (Minneapolis),1,1,0,11000,"$3,097.60","$1,302.45","$1,795.15",58.0%
CLUSTER,Cluster 13 (Boston),2,2,0,17500,"$7,119.20","$2,907.96","$4,211.24",59.2%
CLUSTER,Cluster 14 (Miami),2,2,0,25500,"$10,995.60","$4,022.04","$6,973.56",63.4%
CLUSTER,Cluster 15 (Phoenix),1,1,0,19000,"$10,640.00","$4,868.35","$5,771.65",54.2%
CLUSTER,Cluster 16 (St. Louis),1,1,0,5500,"$1,125.30","$1,002.48",$122.82,10.9%
CLUSTER,Cluster 17 (Las Vegas),1,0,1,6500,"$4,004.00","$4,004.00",$0.00,0.0%
CLUSTER,Cluster 18 (Charlotte),1,1,0,13000,"$4,160.00","$2,059.38","$2,100.62",50.5%
CLUSTER,Cluster 19 (Tampa),1,1,0,11000,"$5,324.00","$3,417.88","$1,906.12",35.8%
CLUSTER,Cluster 20 (Indianapolis),1,1,0,4500,$990.00,$685.60,$304.40,30.7%
TRUCK,TRK-001,2,2,0,17500,"$4,928.00","$2,080.18","$2,847.82",57.8%
TRUCK,TRK-002,4,4,0,35500,"$8,010.20","$1,624.20","$6,386.00",79.7%
TRUCK,TRK-003,2,2,0,27000,"$10,118.40","$3,019.42","$7,098.98",70.2%
TRUCK,TRK-004,2,2,0,44000,"$20,367.20","$5,812.80","$14,554.40",71.5%
TRUCK,TRK-005,2,2,0,15000,"$4,464.00","$2,192.62","$2,271.38",50.9%
TRUCK,TRK-006,3,3,0,32500,"$14,069.00","$3,925.86","$10,143.14",72.1%
TRUCK,TRK-007,3,3,0,38000,"$14,930.20","$2,568.66","$12,361.54",82.8%
TRUCK,TRK-008,1,1,0,8000,"$3,273.60","$2,461.08",$812.52,24.8%
TRUCK,TRK-009,2,2,0,22500,"$9,020.00","$3,134.48","$5,885.52",65.2%
TRUCK,TRK-010,1,1,0,25000,"$12,320.00","$6,178.43","$6,141.57",49.9%
TRUCK,TRK-011,2,2,0,34000,"$10,112.00","$2,063.60","$8,048.40",79.6%
TRUCK,TRK-012,1,1,0,6000,"$1,785.60","$1,490.30",$295.30,16.5%
TRUCK,TRK-013,2,2,0,40000,"$19,264.00","$5,782.24","$13,481.76",70.0%
TRUCK,TRK-014,1,1,0,11000,"$3,097.60","$1,302.45","$1,795.15",58.0%
TRUCK,TRK-015,2,2,0,17500,"$7,119.20","$2,907.96","$4,211.24",59.2%
TRUCK,TRK-016,2,2,0,25500,"$10,995.60","$4,022.04","$6,973.56",63.4%
TRUCK,TRK-017,1,1,0,19000,"$10,640.00","$4,868.35","$5,771.65",54.2%
TRUCK,TRK-018,1,1,0,5500,"$1,125.30","$1,002.48",$122.82,10.9%
TRUCK,TRK-019,1,1,0,13000,"$4,160.00","$2,059.38","$2,100.62",50.5%
TRUCK,TRK-020,1,1,0,11000,"$5,324.00","$3,417.88","$1,906.12",35.8%
TRUCK,TRK-021,1,1,0,4500,$990.00,$685.60,$304.40,30.7%
LTL,All LTL Shipments,3,0,3,22500,"$12,964.00","$12,964.00",$0.00,0.0%
