shipment_id,warehouse,dest_city,dest_state,dest_lat,dest_lon,weight_lbs,freight_class,pickup_date,delivery_due
SHP0001,CHICAGO_IL,New York,NY,40.7128,-74.0060,12500,85,2023-10-02,2023-10-04
SHP0002,CHICAGO_IL,New York,NY,40.7128,-74.0060,8000,70,2023-10-02,2023-10-05
SHP0003,CHICAGO_IL,New York,NY,40.7128,-74.0060,16500,70,2023-10-03,2023-10-05
SHP0004,CHICAGO_IL,Boston,MA,42.3601,-71.0589,6500,85,2023-10-03,2023-10-06
SHP0005,CHICAGO_IL,Boston,MA,42.3601,-71.0589,11000,65,2023-10-02,2023-10-05
SHP0006,CHICAGO_IL,Philadelphia,PA,39.9526,-75.1652,9000,70,2023-10-02,2023-10-04
SHP0007,CHICAGO_IL,Washington DC,DC,38.9072,-77.0369,8000,70,2023-10-02,2023-10-04
SHP0008,CHICAGO_IL,Baltimore,MD,39.2904,-76.6122,7000,70,2023-10-02,2023-10-04
SHP0009,CHICAGO_IL,Atlanta,GA,33.7490,-84.3880,14000,85,2023-10-03,2023-10-06
SHP0010,CHICAGO_IL,Atlanta,GA,33.7490,-84.3880,20000,65,2023-10-02,2023-10-05
SHP0011,CHICAGO_IL,Charlotte,NC,35.2271,-80.8431,13000,85,2023-10-03,2023-10-05
SHP0012,CHICAGO_IL,Nashville,TN,36.1627,-86.7816,9500,65,2023-10-02,2023-10-04
SHP0013,CHICAGO_IL,Miami,FL,25.7617,-80.1918,7500,100,2023-10-02,2023-10-07
SHP0014,CHICAGO_IL,Miami,FL,25.7617,-80.1918,18000,70,2023-10-03,2023-10-08
SHP0015,CHICAGO_IL,Tampa,FL,27.9506,-82.4572,11000,100,2023-10-03,2023-10-07
SHP0016,CHICAGO_IL,Dallas,TX,32.7767,-96.7970,22000,65,2023-10-02,2023-10-05
SHP0017,CHICAGO_IL,Houston,TX,29.7604,-95.3698,16000,85,2023-10-02,2023-10-06
SHP0018,CHICAGO_IL,Austin,TX,30.2672,-97.7431,7500,70,2023-10-02,2023-10-06
SHP0019,CHICAGO_IL,San Antonio,TX,29.4241,-98.4936,9000,85,2023-10-02,2023-10-06
SHP0020,CHICAGO_IL,Oklahoma City,OK,35.4676,-97.5164,5000,85,2023-10-03,2023-10-05
SHP0021,CHICAGO_IL,Denver,CO,39.7392,-104.9903,8500,65,2023-10-02,2023-10-05
SHP0022,CHICAGO_IL,Denver,CO,39.7392,-104.9903,14000,70,2023-10-03,2023-10-06
SHP0023,CHICAGO_IL,Phoenix,AZ,33.4484,-112.0740,19000,85,2023-10-02,2023-10-06
SHP0024,CHICAGO_IL,Las Vegas,NV,36.1699,-115.1398,6500,100,2023-10-03,2023-10-07
SHP0025,CHICAGO_IL,Los Angeles,CA,34.0522,-118.2437,35000,50,2023-10-02,2023-10-06
SHP0026,CHICAGO_IL,Los Angeles,CA,34.0522,-118.2437,9000,70,2023-10-03,2023-10-07
SHP0027,CHICAGO_IL,San Francisco,CA,37.7749,-122.4194,25000,65,2023-10-03,2023-10-07
SHP0028,CHICAGO_IL,Seattle,WA,47.6062,-122.3321,28000,50,2023-10-02,2023-10-07
SHP0029,CHICAGO_IL,Seattle,WA,47.6062,-122.3321,12000,85,2023-10-03,2023-10-08
SHP0030,CHICAGO_IL,Portland,OR,45.5051,-122.6750,10000,85,2023-10-03,2023-10-08
SHP0031,CHICAGO_IL,Minneapolis,MN,44.9778,-93.2650,11000,65,2023-10-02,2023-10-04
SHP0032,CHICAGO_IL,Detroit,MI,42.3314,-83.0458,7500,70,2023-10-02,2023-10-03
SHP0033,CHICAGO_IL,Detroit,MI,42.3314,-83.0458,6000,85,2023-10-03,2023-10-04
SHP0034,CHICAGO_IL,Cleveland,OH,41.4993,-81.6944,8500,65,2023-10-03,2023-10-04
SHP0035,CHICAGO_IL,St. Louis,MO,38.6270,-90.1994,5500,70,2023-10-02,2023-10-03
SHP0036,CHICAGO_IL,Kansas City,MO,39.0997,-94.5786,6000,70,2023-10-02,2023-10-04
SHP0037,CHICAGO_IL,Columbus,OH,39.9612,-82.9988,13500,70,2023-10-02,2023-10-04
SHP0038,CHICAGO_IL,Indianapolis,IN,39.7684,-86.1581,4500,85,2023-10-02,2023-10-03
SHP0039,CHICAGO_IL,Memphis,TN,35.1495,-90.0489,8000,65,2023-10-02,2023-10-04
SHP0040,CHICAGO_IL,Los Angeles,CA,34.0522,-118.2437,6000,85,2023-10-02,2023-10-06
