section,label,n_shipments,tl_shipments,ltl_shipments,total_weight_lbs,baseline_ltl_cost,optimized_cost,savings,savings_pct
OVERALL,All Shipments,40,38,2,474500,"$189,077.90","$61,326.15","$127,751.75",67.6%
REGION,Midwest,8,7,1,62500,"$15,008.70","$8,197.87","$6,810.83",45.4%
REGION,Mountain,4,3,1,48000,"$23,664.00","$9,161.21","$14,502.79",61.3%
REGION,Northeast,8,8,0,78500,"$29,787.00","$5,929.96","$23,857.04",80.1%
REGION,Pacific,7,7,0,125000,"$60,911.20","$20,273.68","$40,637.52",66.7%
REGION,South Central,5,5,0,59500,"$24,187.40","$7,341.13","$16,846.27",69.6%
REGION,Southeast,8,8,0,101000,"$35,519.60","$10,422.30","$25,097.30",70.7%
TRUCK,TRK-001,4,4,0,27500,"$6,373.40","$2,810.44","$3,562.96",55.9%
TRUCK,TRK-002,3,3,0,30500,"$7,645.30","$4,397.43","$3,247.87",42.5%
TRUCK,TRK-003,3,3,0,39500,"$20,372.80","$5,870.01","$14,502.79",71.2%
TRUCK,TRK-004,4,4,0,43000,"$16,549.40","$3,186.80","$13,362.60",80.7%
TRUCK,TRK-005,4,4,0,35500,"$13,237.60","$2,743.16","$10,494.44",79.3%
TRUCK,TRK-006,2,2,0,44000,"$20,367.20","$5,812.80","$14,554.40",71.5%
TRUCK,TRK-007,3,3,0,41000,"$21,280.00","$8,678.64","$12,601.36",59.2%
TRUCK,TRK-008,2,2,0,40000,"$19,264.00","$5,782.24","$13,481.76",70.0%
TRUCK,TRK-009,3,3,0,38500,"$15,547.40","$3,596.31","$11,951.09",76.9%
TRUCK,TRK-010,2,2,0,21000,"$8,640.00","$3,744.82","$4,895.18",56.7%
TRUCK,TRK-011,3,3,0,33500,"$13,248.40","$4,559.61","$8,688.79",65.6%
TRUCK,TRK-012,2,2,0,24000,"$9,484.00","$3,722.40","$5,761.60",60.8%
TRUCK,TRK-013,3,3,0,43500,"$12,787.20","$2,140.29","$10,646.91",83.3%
LTL,All LTL Shipments,2,0,2,13000,"$4,281.20","$4,281.20",$0.00,0.0%
