shipment_id,warehouse,dest_city,dest_state,weight_lbs,freight_class,pickup_date,delivery_due,mode,region,zone_id,cluster_id,truck_id,assigned_mode,truck_weight,n_stops,distance_miles,tl_cost,ltl_cost_ind,plan_cost
SHP0001,CHICAGO_IL,New York,NY,12500,85,2023-10-02,2023-10-04,OPTIONAL,Northeast,3,Z3_C008,TRK-011,TL,38000.0,2,711.1,2568.65,5500.0,856.22
SHP0002,CHICAGO_IL,New York,NY,8000,70,2023-10-02,2023-10-05,OPTIONAL,Northeast,3,Z3_C008,TRK-012,TL,23000.0,3,711.1,2743.18,3273.6,914.39
SHP0003,CHICAGO_IL,New York,NY,16500,70,2023-10-03,2023-10-05,MUST_TL,Northeast,3,Z3_C008,TRK-011,TL,38000.0,2,711.1,2568.65,6751.8,856.22
SHP0004,CHICAGO_IL,Boston,MA,6500,85,2023-10-03,2023-10-06,OPTIONAL,Northeast,3,Z3_C009,TRK-013,TL,17500.0,1,848.6,2907.95,2860.0,1453.98
SHP0005,CHICAGO_IL,Boston,MA,11000,65,2023-10-02,2023-10-05,OPTIONAL,Northeast,3,Z3_C009,TRK-013,TL,17500.0,1,848.6,2907.95,4259.2,1453.98
SHP0006,CHICAGO_IL,Philadelphia,PA,9000,70,2023-10-02,2023-10-04,OPTIONAL,Northeast,3,Z3_C008,TRK-011,TL,38000.0,2,663.7,2568.65,2678.4,856.22
SHP0007,CHICAGO_IL,Washington DC,DC,8000,70,2023-10-02,2023-10-04,OPTIONAL,Northeast,3,Z3_C008,TRK-012,TL,23000.0,3,593.6,2743.18,2380.8,914.39
SHP0008,CHICAGO_IL,Baltimore,MD,7000,70,2023-10-02,2023-10-04,OPTIONAL,Northeast,3,Z3_C008,TRK-012,TL,23000.0,3,604.7,2743.18,2083.2,914.39
SHP0009,CHICAGO_IL,Atlanta,GA,14000,85,2023-10-03,2023-10-06,OPTIONAL,Southeast,1,Z1_C002,TRK-004,TL,34000.0,1,588.8,2063.6,4480.0,1031.8
SHP0010,CHICAGO_IL,Atlanta,GA,20000,65,2023-10-02,2023-10-05,MUST_TL,Southeast,1,Z1_C002,TRK-004,TL,34000.0,1,588.8,2063.6,5632.0,1031.8
SHP0011,CHICAGO_IL,Charlotte,NC,13000,85,2023-10-03,2023-10-05,OPTIONAL,Southeast,1,Z1_C002,TRK-005,TL,13000.0,1,587.5,2059.38,4160.0,2059.38
SHP0012,CHICAGO_IL,Nashville,TN,9500,65,2023-10-02,2023-10-04,OPTIONAL,Southeast,1,Z1_C004,TRK-007,TL,14000.0,2,397.5,1502.98,2675.2,751.49
SHP0013,CHICAGO_IL,Miami,FL,7500,100,2023-10-02,2023-10-07,OPTIONAL,Southeast,4,Z4_C010,TRK-014,TL,25500.0,1,1191.4,4022.05,3630.0,2011.02
SHP0014,CHICAGO_IL,Miami,FL,18000,70,2023-10-03,2023-10-08,MUST_TL,Southeast,4,Z4_C010,TRK-014,TL,25500.0,1,1191.4,4022.05,7365.6,2011.02
SHP0015,CHICAGO_IL,Tampa,FL,11000,100,2023-10-03,2023-10-07,OPTIONAL,Southeast,4,Z4_C011,TRK-015,TL,11000.0,1,1005.5,3417.88,5324.0,3417.88
SHP0016,CHICAGO_IL,Dallas,TX,22000,65,2023-10-02,2023-10-05,MUST_TL,South Central,2,Z2_C005,TRK-008,TL,27000.0,2,804.7,3019.42,8518.4,1509.71
SHP0017,CHICAGO_IL,Houston,TX,16000,85,2023-10-02,2023-10-06,MUST_TL,South Central,2,Z2_C007,TRK-010,TL,16000.0,1,941.9,3211.18,7040.0,3211.18
SHP0018,CHICAGO_IL,Austin,TX,7500,70,2023-10-02,2023-10-06,OPTIONAL,South Central,2,Z2_C006,TRK-009,TL,16500.0,2,979.6,3572.9,3069.0,1786.45
SHP0019,CHICAGO_IL,San Antonio,TX,9000,85,2023-10-02,2023-10-06,OPTIONAL,South Central,2,Z2_C006,TRK-009,TL,16500.0,2,1052.8,3572.9,3960.0,1786.45
