section,label,module,shipments,tl_shipments,ltl_shipments,total_weight_lbs,baseline_ltl_cost,optimized_cost,savings,savings_pct
OVERALL,All Shipments,Clustering,40,39,1,474500,"$189,077.90","$70,088.85","$118,989.05",62.9%
REGION,Midwest,Clustering,8,8,0,62500,"$15,008.70","$5,908.06","$9,100.64",60.6%
REGION,Mountain,Clustering,4,4,0,48000,"$23,664.00","$6,356.12","$17,307.88",73.1%
REGION,Northeast,Clustering,8,8,0,78500,"$29,787.00","$8,219.79","$21,567.21",72.4%
REGION,Pacific,Clustering,7,6,1,125000,"$60,911.20","$26,595.10","$34,316.10",56.3%
REGION,South Central,Clustering,5,5,0,59500,"$24,187.40","$9,803.50","$14,383.90",59.5%
REGION,Southeast,Clustering,8,8,0,101000,"$35,519.60","$13,206.28","$22,313.32",62.8%
TRUCK,TRK-001,Clustering,1,1,0,35000,"$15,680.00","$5,812.80","$9,867.20",62.9%
TRUCK,TRK-002,Clustering,4,4,0,40500,"$22,691.20","$6,443.28","$16,247.92",71.6%
TRUCK,TRK-003,Clustering,1,1,0,25000,"$12,320.00","$6,178.42","$6,141.58",49.9%
TRUCK,TRK-004,Clustering,2,2,0,34000,"$10,112.00","$2,063.60","$8,048.40",79.6%
TRUCK,TRK-005,Clustering,1,1,0,13000,"$4,160.00","$2,059.38","$2,100.62",50.5%
TRUCK,TRK-006,Clustering,4,4,0,35500,"$8,010.20","$1,624.20","$6,386.00",79.7%
TRUCK,TRK-007,Clustering,2,2,0,14000,"$3,665.20","$1,502.98","$2,162.22",59.0%
TRUCK,TRK-008,Clustering,2,2,0,27000,"$10,118.40","$3,019.42","$7,098.98",70.2%
TRUCK,TRK-009,Clustering,2,2,0,16500,"$7,029.00","$3,572.90","$3,456.10",49.2%
TRUCK,TRK-010,Clustering,1,1,0,16000,"$7,040.00","$3,211.18","$3,828.82",54.4%
TRUCK,TRK-011,Clustering,3,3,0,38000,"$14,930.20","$2,568.66","$12,361.54",82.8%
TRUCK,TRK-012,Clustering,3,3,0,23000,"$7,737.60","$2,743.17","$4,994.43",64.5%
TRUCK,TRK-013,Clustering,2,2,0,17500,"$7,119.20","$2,907.96","$4,211.24",59.2%
TRUCK,TRK-014,Clustering,2,2,0,25500,"$10,995.60","$4,022.04","$6,973.56",63.4%
TRUCK,TRK-015,Clustering,1,1,0,11000,"$5,324.00","$3,417.88","$1,906.12",35.8%
TRUCK,TRK-016,Clustering,2,2,0,40000,"$19,264.00","$5,782.24","$13,481.76",70.0%
TRUCK,TRK-018,Clustering,2,2,0,22500,"$9,020.00","$3,134.48","$5,885.52",65.2%
TRUCK,TRK-019,Clustering,2,2,0,17000,"$4,883.20","$2,640.48","$2,242.72",45.9%
TRUCK,TRK-020,Clustering,2,2,0,13500,"$3,378.10","$1,783.78","$1,594.32",47.2%
LTL,All LTL Shipments,Clustering,1,0,1,10000,"$5,600.00","$5,600.00",$0.00,0.0%
