shipment_id,warehouse,dest_city,dest_state,weight_lbs,freight_class,pickup_date,delivery_due,mode,region,distance_miles,truck_id,assigned_mode,tl_cost,ltl_cost_ind,plan_cost,solver_status
SHP0001,CHICAGO_IL,New York,NY,12500,85,2023-10-02,2023-10-04,OPTIONAL,Northeast,711.1,TRK-006,TL,2743.18,5500.0,685.8,Optimal
SHP0002,CHICAGO_IL,New York,NY,8000,70,2023-10-02,2023-10-05,OPTIONAL,Northeast,711.1,TRK-006,TL,2743.18,3273.6,685.8,Optimal
SHP0003,CHICAGO_IL,New York,NY,16500,70,2023-10-03,2023-10-05,MUST_TL,Northeast,711.1,TRK-005,TL,3186.8,6751.8,796.7,Optimal
SHP0004,CHICAGO_IL,Boston,MA,6500,85,2023-10-03,2023-10-06,OPTIONAL,Northeast,848.6,TRK-005,TL,3186.8,2860.0,796.7,Optimal
SHP0005,CHICAGO_IL,Boston,MA,11000,65,2023-10-02,2023-10-05,OPTIONAL,Northeast,848.6,TRK-005,TL,3186.8,4259.2,796.7,Optimal
SHP0006,CHICAGO_IL,Philadelphia,PA,9000,70,2023-10-02,2023-10-04,OPTIONAL,Northeast,663.7,TRK-005,TL,3186.8,2678.4,796.7,Optimal
SHP0007,CHICAGO_IL,Washington DC,DC,8000,70,2023-10-02,2023-10-04,OPTIONAL,Northeast,593.6,TRK-006,TL,2743.18,2380.8,685.8,Optimal
SHP0008,CHICAGO_IL,Baltimore,MD,7000,70,2023-10-02,2023-10-04,OPTIONAL,Northeast,604.7,TRK-006,TL,2743.18,2083.2,685.8,Optimal
SHP0009,CHICAGO_IL,Atlanta,GA,14000,85,2023-10-03,2023-10-06,OPTIONAL,Southeast,588.8,TRK-014,TL,2875.78,4480.0,958.59,Optimal
SHP0010,CHICAGO_IL,Atlanta,GA,20000,65,2023-10-02,2023-10-05,MUST_TL,Southeast,588.8,TRK-013,TL,3417.88,5632.0,1708.94,Optimal
SHP0011,CHICAGO_IL,Charlotte,NC,13000,85,2023-10-03,2023-10-05,OPTIONAL,Southeast,587.5,TRK-014,TL,2875.78,4160.0,958.59,Optimal
SHP0012,CHICAGO_IL,Nashville,TN,9500,65,2023-10-02,2023-10-04,OPTIONAL,Southeast,397.5,TRK-014,TL,2875.78,2675.2,958.59,Optimal
SHP0013,CHICAGO_IL,Miami,FL,7500,100,2023-10-02,2023-10-07,OPTIONAL,Southeast,1191.4,TRK-012,TL,4559.6,3630.0,1519.87,Optimal
