section,label,module,shipments,tl_shipments,ltl_shipments,total_weight_lbs,baseline_ltl_cost,optimized_cost,savings,savings_pct
OVERALL,All Shipments,MILP Optimizer,40,39,1,474500,"$189,077.90","$61,154.70","$127,923.20",67.7%
REGION,Midwest,MILP Optimizer,8,8,0,62500,"$15,008.70","$7,595.42","$7,413.28",49.4%
REGION,Mountain,MILP Optimizer,4,3,1,48000,"$23,664.00","$9,161.21","$14,502.79",61.3%
REGION,Northeast,MILP Optimizer,8,8,0,78500,"$29,787.00","$5,930.00","$23,857.00",80.1%
REGION,Pacific,MILP Optimizer,7,7,0,125000,"$60,911.20","$20,273.68","$40,637.52",66.7%
REGION,South Central,MILP Optimizer,5,5,0,59500,"$24,187.40","$7,341.13","$16,846.27",69.6%
REGION,Southeast,MILP Optimizer,8,8,0,101000,"$35,519.60","$10,853.26","$24,666.34",69.4%
TRUCK,TRK-001,MILP Optimizer,2,2,0,13500,"$2,854.50",$920.24,"$1,934.26",67.8%
TRUCK,TRK-002,MILP Optimizer,3,3,0,21000,"$5,212.90","$2,949.54","$2,263.36",43.4%
TRUCK,TRK-003,MILP Optimizer,3,3,0,28000,"$6,941.30","$3,725.64","$3,215.66",46.3%
TRUCK,TRK-004,MILP Optimizer,3,3,0,39500,"$20,372.80","$5,870.01","$14,502.79",71.2%
TRUCK,TRK-005,MILP Optimizer,4,4,0,43000,"$16,549.40","$3,186.80","$13,362.60",80.7%
TRUCK,TRK-006,MILP Optimizer,4,4,0,35500,"$13,237.60","$2,743.20","$10,494.40",79.3%
TRUCK,TRK-007,MILP Optimizer,3,3,0,41000,"$21,280.00","$8,678.64","$12,601.36",59.2%
TRUCK,TRK-008,MILP Optimizer,2,2,0,44000,"$20,367.20","$5,812.80","$14,554.40",71.5%
TRUCK,TRK-009,MILP Optimizer,2,2,0,40000,"$19,264.00","$5,782.24","$13,481.76",70.0%
TRUCK,TRK-010,MILP Optimizer,3,3,0,38500,"$15,547.40","$3,596.31","$11,951.09",76.9%
TRUCK,TRK-011,MILP Optimizer,2,2,0,21000,"$8,640.00","$3,744.82","$4,895.18",56.7%
TRUCK,TRK-012,MILP Optimizer,3,3,0,33500,"$13,248.40","$4,559.61","$8,688.79",65.6%
TRUCK,TRK-013,MILP Optimizer,2,2,0,31000,"$10,956.00","$3,417.88","$7,538.12",68.8%
TRUCK,TRK-014,MILP Optimizer,3,3,0,36500,"$11,315.20","$2,875.77","$8,439.43",74.6%
LTL,All LTL Shipments,MILP Optimizer,1,0,1,8500,"$3,291.20","$3,291.20",$0.00,0.0%
